gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0035229,T.J. Hockenson,MIN,TE,1,1.0,0.0,healthy,0.97,,,37.9,0,0,0.0,nobody
00-0035249,Josh Oliver,MIN,TE,2,2.0,0.0,healthy,0.97,,,37.2,1,0,0.005,T.J. Hockenson (healthy)
00-0040215,Gavin Bartholomew,MIN,TE,3,4.0,1.0,healthy,0.97,,,928.6,2,0,0.006,T.J. Hockenson (healthy); Josh Oliver (healthy)
00-0040509,Ben Yurosek,MIN,TE,4,5.0,1.0,ir,0.02,Undisclosed,,375.3,3,0,0.006,T.J. Hockenson (healthy); Josh Oliver (healthy); Gavin Bartholomew (healthy)
00-0036322,Justin Jefferson,MIN,WR,1,1.0,0.0,healthy,0.97,,,85.9,0,0,0.0,nobody
00-0038994,Jordan Addison,MIN,WR,2,2.0,0.0,healthy,0.97,,,84.9,1,0,0.009,Justin Jefferson (healthy)
00-0036259,Jauan Jennings,MIN,WR,3,3.0,0.0,healthy,0.97,,,15.7,2,0,0.014,Justin Jefferson (healthy); Jordan Addison (healthy)
00-0040154,Tai Felton,MIN,WR,4,4.0,0.0,healthy,0.97,,,779.5,3,0,0.018,Justin Jefferson (healthy); Jordan Addison (healthy); Jauan Jennings (healthy)
00-0040506,Myles Price,MIN,WR,5,5.0,0.0,healthy,0.97,,,86.2,4,0,0.019,Justin Jefferson (healthy); Jordan Addison (healthy); Jauan Jennings (healthy); Tai Felton (healthy)
00-0039710,Jeshaun Jones,MIN,WR,6,6.0,0.0,sus,0.02,Suspension,,646.6,5,0,0.019,Justin Jefferson (healthy); Jordan Addison (healthy); Jauan Jennings (healthy); Tai Felton (healthy); Myles Price (healthy)
00-0039851,Drake Maye,NE,QB,1,1.0,0.0,healthy,0.97,,,81.9,0,0,0.0,nobody
00-0038476,Tommy DeVito,NE,QB,2,2.0,0.0,healthy,0.97,,,2873.0,1,0,0.0,Drake Maye (healthy)
00-0041123,Behren Morton,NE,QB,3,3.0,0.0,healthy,0.97,,,94.7,2,0,0.0,Drake Maye (healthy); Tommy DeVito (healthy)
00-0036875,Rhamondre Stevenson,NE,RB,1,2.0,1.0,healthy,0.97,,,82.9,0,0,0.0,nobody
00-0040734,TreVeyon Henderson,NE,RB,2,1.0,1.0,healthy,0.97,,,10.0,1,0,0.009,Rhamondre Stevenson (healthy)
00-0040556,Corey Kiner,NE,RB,3,3.0,0.0,healthy,0.97,,,117.1,2,0,0.022,Rhamondre Stevenson (healthy); TreVeyon Henderson (healthy)
00-0041323,Myles Montgomery,NE,RB,4,,,ir,0.02,Undisclosed,,1000.1,3,0,0.023,Rhamondre Stevenson (healthy); TreVeyon Henderson (healthy); Corey Kiner (healthy)
00-0033090,Hunter Henry,NE,TE,1,1.0,0.0,healthy,0.97,,,84.9,0,0,0.0,nobody
00-0041395,Eli Raridon,NE,TE,2,2.0,0.0,questionable,0.72,Thigh,,14.9,1,0,0.006,Hunter Henry (healthy)
00-0038564,Cameron Latu,NE,TE,3,3.0,0.0,healthy,0.97,,,563.8,2,0,0.015,Hunter Henry (healthy); Eli Raridon (questionable)
00-0041314,Tanner Arkin,NE,TE,4,6.0,2.0,healthy,0.97,,,95.0,3,0,0.015,Hunter Henry (healthy); Eli Raridon (questionable); Cameron Latu (healthy)
00-0038720,Julian Hill,NE,TE,5,5.0,0.0,ir,0.02,Knee,,2728.0,4,0,0.015,Hunter Henry (healthy); Eli Raridon (questionable); Cameron Latu (healthy); Tanner Arkin (healthy)
00-0037816,Romeo Doubs,NE,WR,1,1.0,0.0,healthy,0.97,,,72.8,0,0,0.0,nobody
00-0038621,DeMario Douglas,NE,WR,2,3.0,1.0,healthy,0.97,,,63.5,1,0,0.005,Romeo Doubs (healthy)
